"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-05","6.93",,"0.00","0.0","0.0",,"68","41","   40","   30","18.1","23.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-06","1.34",,"0.00","0.0","0.0",,"73","39","   70","   60","8.9","12.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-07","2.46",,"0.00","0.0","0.0",,"78","42","   30","   30","15.0","18.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-08","4.25",,"0.00","0.0","0.0",,"82","51","   40","   40","15.0","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-09","5.14",,"0.00","0.0","0.0",,"83","58","   50","   60","19.9","21.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-10","2.46",,"0.00","0.0","0.0",,"82","50","  360","  260","6.9","10.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-11","1.79",,"0.00","0.0","0.0",,"82","50","  240","  240","6.9","10.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-12","1.34",,"0.00","0.0","0.0",,"84","49","  210","  230","6.9","11.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-13","1.57",,"0.00","0.0","0.0",,"83","50","  240","  230","8.1","10.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-14","2.46",,"0.00","0.0","0.0",,"79","47","  230","  240","8.9","13.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-15","3.13",,"0.00","0.0","0.0",,"83","49","  240","  220","10.1","13.0",,,,,
